movieID,Movie,Watched,ReleaseDate,Popularity,Genre,Synopsis,Director,IMDB_Rating,Poster,ID,IMDB_ID,IMDB_Page
37,Conan the Destroyer,checked,1984-06-29,17.714,"Adventure,Fantasy,Action","Conan is commissioned by the evil queen Taramis to safely escort a teen princess and her powerful bodyguard to a far away castle to retrieve the magic Horn of Dagon. Unknown to Conan, the queen plans to sacrifice the princess when she returns and inherit her kingdom after the bodyguard kills Conan. The queen's plans fail to take into consideration Conan's strength and cunning and the abilities of his sidekicks: the eccentric wizard Akiro, the wild woman Zula, and the inept Malak. Together the hero and his allies must defeat both mortal and supernatural foes in this voyage to sword-and-sorcery land.",,,https://image.tmdb.org/t/p/original//tYtWSH9mq6YoIOAyZtluHnzbPvE.jpg,9610,,
38,Police Academy,checked,1984-03-22,17.431,"Comedy,Crime","New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",,,https://image.tmdb.org/t/p/original//CZoeavxfCWcoQP5zW6fTxgNKXy.jpg,9336,,
39,The NeverEnding Story,checked,1984-04-05,16.962,"Adventure,Drama,Fantasy,Family","While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing.",,,https://image.tmdb.org/t/p/original//jq67Zg1TVXNZxTvcXxfIdxK3IWV.jpg,34584,,
40,Back to the Future,checked,1985-07-03,47.294,"Adventure,Comedy,Science Fiction,Family","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",,,https://image.tmdb.org/t/p/original//7lyBcpYB0Qt8gYhXYaEZUNlNQAv.jpg,105,,
41,Commando,checked,1985-10-03,23.545,"Action,Adventure,Thriller","John Matrix, the former leader of a special commando strike force that always got the toughest jobs done, is forced back into action when his young daughter is kidnapped. To find her, Matrix has to fight his way through an array of punks, killers, one of his former commandos, and a fully equipped private army. With the help of a feisty stewardess and an old friend, Matrix has only a few hours to overcome his greatest challenge: finding his daughter before she's killed.",,,https://image.tmdb.org/t/p/original//ggVVcXvlLqFOK6lEkD8G2aDarDb.jpg,10999,,
42,A View to a Kill,checked,1985-05-24,22.846,"Action,Adventure,Thriller",A newly developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin.,,,https://image.tmdb.org/t/p/original//ieMTbSdYJJ7RZIW0X02NbwIAxMl.jpg,707,,
43,The Goonies,checked,1985-06-07,18.546,"Adventure,Comedy,Family","A young teenager named Mikey Walsh finds an old treasure map in his father's attic. Hoping to save their homes from demolition, Mikey and his friends Data Wang, Chunk Cohen, and Mouth Devereaux run off on a big quest to find the secret stash of Pirate One-Eyed Willie.",,,https://image.tmdb.org/t/p/original//5B6bC6lMGr9hECBAluELOvdqKFl.jpg,9340,,
44,Police Academy 2: Their First Assignment,checked,1985-03-28,17.155,"Comedy,Crime","Officer Carey Mahoney and his cohorts have finally graduated from the Police Academy and are about to hit the streets on their first assignment. Question is, are they ready to do battle with a band of graffiti-tagging terrorists? Time will tell, but don't sell short this cheerful band of doltish boys in blue.",,,https://image.tmdb.org/t/p/original//xyljfyGSJOdghPsycreHMsnhpU9.jpg,10157,,
45,Cocoon,checked,1985-06-21,16.43,"Comedy,Drama,Science Fiction","When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor.",,,https://image.tmdb.org/t/p/original//wqNNm36j3nkucAucHEGAW5pNZcd.jpg,10328,,
46,Red Sonja,checked,1985-04-09,16.389,"Action,Adventure,Fantasy","The tyrant Gedren seeks the total power in a world of barbarism. She raids the city Hablac and kills the keeper of a talisman that gives her great power. Red Sonja, sister of the keeper, sets out with her magic sword to overthrow Gedren.",,,https://image.tmdb.org/t/p/original//qYJFrmSjy0HpzmvnIuGpuFUzXbs.jpg,9626,,
