tvshowID,TVShow,Watched,ReleaseDate,Popularity,CountryOfOrigin,Genre,Creator,Synopsis,Poster,ID,WikipediaPage
130,Better Call Saul,checked,2015-02-08,35.819,US,"Comedy,Crime,Drama",,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",https://image.tmdb.org/t/p/original//cU0kAjGjA6d2XjBzJMUIEVKiGDb.jpg,60059,
131,Marvel's Jessica Jones,checked,2015-11-20,35.552,US,"Drama,Sci-Fi & Fantasy",,"After a tragic ending to her short-lived super hero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City.",https://image.tmdb.org/t/p/original//wkFdanlAaV39sSXeslImfRUj3jQ.jpg,38472,
132,The Man in the High Castle,checked,2015-01-15,32.267,US,"Drama,Sci-Fi & Fantasy",,"Explore what it would be like if the Allied Powers had lost WWII, and Japan and Germany ruled the United States. Based on Philip K. Dick's award-winning novel.",https://image.tmdb.org/t/p/original//xhoDZbMNeyCA0BGPZQsdIiO43Dp.jpg,62017,
133,Westworld,checked,2016-10-02,74.144,US,Western,,"A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.",https://image.tmdb.org/t/p/original//y55oBgf6bVMI7sFNXwJDrSIxPQt.jpg,63247,
134,Stranger Things,checked,2016-07-15,63.891,US,"Drama,Mystery,Sci-Fi & Fantasy",,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",https://image.tmdb.org/t/p/original//x2LSRK2Cm7MZhjluni1msVJ3wDF.jpg,66732,
135,Billions,checked,2016-01-17,56.753,US,Drama,,"A complex drama about power politics in the world of New York high finance. 

Shrewd, savvy U.S. Attorney Chuck Rhoades and the brilliant, ambitious hedge fund king Bobby ""Axe"" Axelrod are on an explosive collision course, with each using all of his considerable smarts, power and influence to outmaneuver the other. The stakes are in the billions in this timely, provocative series.",https://image.tmdb.org/t/p/original//lbIMe94gXNGBzlFACqbrUyEXpyN.jpg,62852,
136,Dark,checked,2017-12-01,57.952,DE,"Crime,Drama,Mystery,Sci-Fi & Fantasy",,A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.,https://image.tmdb.org/t/p/original//ajmkAwuK1TRFWMjKoSMgoAXbnc7.jpg,70523,
137,The Handmaid's Tale,checked,2017-04-26,42.293,US,"Drama,Sci-Fi & Fantasy",,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship. A TV adaptation of Margaret Atwood's novel.",https://image.tmdb.org/t/p/original//kJnNIZ09BTcG3mxXXAvqDBkLKIc.jpg,69478,
138,Star Trek: Discovery,checked,2017-09-24,41.931,US,"Action & Adventure,Sci-Fi & Fantasy",,"Follow the voyages of Starfleet on their missions to discover new worlds and new life forms, and one Starfleet officer who must learn that to truly understand all things alien, you must first understand yourself.",https://image.tmdb.org/t/p/original//aJTSeqG43514TewIuS9hiHvbero.jpg,67198,
139,Legion,checked,2017-02-08,30.846,US,"Action & Adventure,Sci-Fi & Fantasy",,"David Haller, AKA Legion, is a troubled young man who may be more than human. Diagnosed as schizophrenic, David has been in and out of psychiatric hospitals for years. But after a strange encounter with a fellow patient, he’s confronted with the possibility that the voices he hears and the visions he sees might be real.",https://image.tmdb.org/t/p/original//vT0Zsbm4GWd7llNjgWEtwY0CqOv.jpg,67195,
140,Killing Eve,checked,2018-04-08,39.053,US,"Crime,Drama",,"A security consultant hunts for a ruthless assassin. Equally obsessed with each other, they go head to head in an epic game of cat-and-mouse.",https://image.tmdb.org/t/p/original//vNEROqZG3sMyMnnLmQ43TML5qFk.jpg,72750,
141,Altered Carbon,checked,2018-02-02,28.695,US,Sci-Fi & Fantasy,,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",https://image.tmdb.org/t/p/original//95IsiH4p5937YXQHaOS2W2dWYOG.jpg,68421,
142,Chernobyl,checked,2019-05-06,44.894,US,Drama,,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,https://image.tmdb.org/t/p/original//hlLXt2tOPT6RRnjiUmoxyG1LTFi.jpg,87108,
143,The Mandalorian,checked,2019-11-12,36.238,US,"Action & Adventure,Sci-Fi & Fantasy",,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",https://image.tmdb.org/t/p/original//BbNvKCuEF4SRzFXR16aK6ISFtR.jpg,82856,
144,The Witcher,checked,2019-12-20,32.479,US,"Drama,Action & Adventure,Sci-Fi & Fantasy",,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",https://image.tmdb.org/t/p/original//zrPpUlehQaBf8YX2NrVrKK8IEpf.jpg,71912,
145,What We Do in the Shadows,checked,2019-03-27,24.416,US,Comedy,,"A documentary-style look into the daily (or rather, nightly) lives of three vampires in Staten Island who have “lived” together for hundreds and hundreds of years.",https://image.tmdb.org/t/p/original//aEwa2kqu5XORbmMwdhEHufODcIr.jpg,83631,
